qmof_id,name,analysis_bin,primary_metal,outputs.pbe.bandgap,zeo_pld,zeo_lcd,zeo_density,zeo_volume,zeo_natoms
qmof-8cfc29d,REJKUN_FSR,bandgap_0_to_0.5eV,Cu,0.052416,1.17171,2.06316,2.251534621,442.8726402,40
qmof-62dbb8e,DORWAK_FSR,bandgap_0_to_0.5eV,Cu,0.204866,1.81242,2.27715,1.387196323,1000.727957,106
qmof-54114ac,BIHZID_FSR,bandgap_0_to_0.5eV,Hg,0.021079,1.06917,1.66468,3.036162778,415.2371421,34
qmof-33eaa8a,LIKZAI_FSR,bandgap_0_to_0.5eV,Cu,0.004553,0.90775,1.64763,1.711881896,705.7950195,70
qmof-dbb4b69,OXAZIX_FSR,bandgap_0_to_0.5eV,Pr,0.074421,1.19813,2.5282,2.387130678,951.7247298,88
qmof-7e46631,KASRUS_FSR,bandgap_0_to_0.5eV,Cu,0.016766,0.89153,2.09186,2.056023357,433.8523189,38
qmof-afd3d78,QEKLEZ_FSR,bandgap_0_to_0.5eV,Cd,0.077833,0.80098,2.16291,1.887610041,865.1554643,84
qmof-9b1be38,TARQAF_FSR,bandgap_0_to_0.5eV,Cs,0.010889,0.86138,2.14736,2.279458687,1017.171677,76
qmof-4bb9ee9,DOTYUI01_FSR,bandgap_0_to_0.5eV,Co,0.126945,1.34316,3.92753,1.12915899,1005.514562,95
qmof-606ca52,OVIVOF_FSR,bandgap_0_to_0.5eV,Cd,0.029604,1.77133,3.03364,1.892250876,1404.253928,112
qmof-1b4e871,PAZXOD_FSR,bandgap_0_to_0.5eV,Cr,0.234922,0.904,2.64822,2.290282954,634.6884357,56
qmof-7e4dbb6,NESYOZ02_FSR,bandgap_0_to_0.5eV,Cu,0.086929,1.58689,2.56268,1.713941423,663.9878236,54
qmof-c8c6644,HAFQOW_FSR,bandgap_0_to_0.5eV,Al,0.273106,1.09181,1.98342,1.627484576,1478.78246,128
qmof-aaa4160,XUGQUM_FSR,bandgap_0_to_0.5eV,Ag,0.076406,0.98715,1.63027,2.239917855,682.283175,62
qmof-2ea7167,EKESOC_FSR,bandgap_0_to_0.5eV,Cu,0.202814,0.88414,1.491,1.837723272,512.8188602,64
qmof-d2f6719,OFEGUD_FSR,bandgap_0_to_0.5eV,Cd,0.100632,1.0544,2.47646,1.912083932,1170.714943,111
qmof-c031960,DICVUI_FSR,bandgap_0_to_0.5eV,Cu,0.101316,1.69068,2.89675,2.781349678,912.9317974,59
qmof-1dc08c3,PIDZEI_FSR,bandgap_0_to_0.5eV,K,0.050973,0.95716,1.77393,1.471237661,1120.979377,108
qmof-7cefc8c,OKECUE_FSR,bandgap_0_to_0.5eV,Cd,0.052147,1.33186,3.24436,1.653550726,1140.413002,100
qmof-f40f3e7,DOTZIX_FSR,bandgap_0_to_0.5eV,Co,0.214375,1.48086,3.89616,1.105378388,1024.178142,97
qmof-6d2fc7d,MIDVEA_FSR,bandgap_0_to_0.5eV,Cu,0.053015,0.8358,1.86013,2.226001305,426.552968,41
