qmof_id,name,analysis_bin,val_fold,primary_metal,linker_scaffold
qmof-9b1be38,TARQAF_FSR,bandgap_0_to_0.5eV,5,Cs,
qmof-aca3388,ILEDIO_FSR,bandgap_0_to_0.5eV,4,Co,c1cc(CCc2ccncc2)ccn1
qmof-4ce077a,ILICOW_FSR,bandgap_0_to_0.5eV,2,Rh,
qmof-4241a3d,WOLKUF_FSR,bandgap_0_to_0.5eV,5,Zn,c1ccc2c(c1)[N]C(c1cscn1)=N2.c1ccccc1
qmof-6d2fc7d,MIDVEA_FSR,bandgap_0_to_0.5eV,5,Cu,
qmof-7e4dbb6,NESYOZ02_FSR,bandgap_0_to_0.5eV,2,Cu,
qmof-dbb4b69,OXAZIX_FSR,bandgap_0_to_0.5eV,5,Pr,c1ccncc1
qmof-54114ac,BIHZID_FSR,bandgap_0_to_0.5eV,3,Hg,c1ccncc1
qmof-4bb9ee9,DOTYUI01_FSR,bandgap_0_to_0.5eV,3,Co,c1cc([N][N]c2ccncc2)ccn1
qmof-f40f3e7,DOTZIX_FSR,bandgap_0_to_0.5eV,4,Co,C(=Cc1ccncc1)c1ccncc1
qmof-7cefc8c,OKECUE_FSR,bandgap_0_to_0.5eV,4,Cd,c1ccc(Oc2ccccc2)cc1
qmof-62dbb8e,DORWAK_FSR,bandgap_0_to_0.5eV,3,Cu,
qmof-33eaa8a,LIKZAI_FSR,bandgap_0_to_0.5eV,2,Cu,
qmof-80d14e6,SEHDAM_FSR,bandgap_0_to_0.5eV,2,Cd,O=C1[N]NC(=O)c2ccc([CH]c3ccc4c(c3)C(=O)N[N]C4=O)cc21
qmof-d2f6719,OFEGUD_FSR,bandgap_0_to_0.5eV,4,Cd,[CH]1C=NC(c2ccccc2)=N1.[CH]1C=NC(c2ccccc2)=N1
qmof-2ea7167,EKESOC_FSR,bandgap_0_to_0.5eV,5,Cu,C1CN2CCN1CC2
qmof-606ca52,OVIVOF_FSR,bandgap_0_to_0.5eV,2,Cd,c1nnc[nH]1
qmof-8cfc29d,REJKUN_FSR,bandgap_0_to_0.5eV,3,Cu,c1ccc(C2=NN=N[N]2)cc1
qmof-aa82d3e,GIWTUB_FSR,bandgap_0_to_0.5eV,1,Cu,O=C1C(=O)C(=O)C1=O
qmof-46e13c3,JIPRIM_FSR,bandgap_0_to_0.5eV,2,K,C1COCCO1
qmof-afd3d78,QEKLEZ_FSR,bandgap_0_to_0.5eV,2,Cd,c1cc(-c2ccncc2)ccn1.c1ccc(-c2ccccc2)cc1
qmof-d0bb092,LALQEW_FSR,bandgap_0_to_0.5eV,1,Cd,O=C1C=CC=C[C]1C=Nc1ccc(-c2nc3ccccc3[nH]2)cc1
qmof-1dc08c3,PIDZEI_FSR,bandgap_0_to_0.5eV,5,K,O=C1C=C[CH]C=C1.O=C1[CH]C=CC=C1
qmof-3a0f684,PILPAD_FSR,bandgap_0_to_0.5eV,2,Cd,c1ncn(CCn2cncn2)n1
qmof-b311e90,UTIHAH_FSR,bandgap_0_to_0.5eV,1,Cu,
qmof-93cbc2c,PEWFEE_FSR,bandgap_0_to_0.5eV,4,Cu,c1ccccc1
qmof-9f865ef,HAFQUC_FSR,bandgap_0_to_0.5eV,1,Al,c1ccccc1
qmof-de9db8f,DODJUC_FSR,bandgap_0_to_0.5eV,1,Hg,
qmof-c8c6644,HAFQOW_FSR,bandgap_0_to_0.5eV,5,Al,c1ccccc1
qmof-cb9b730,ISOQEM01_FSR,bandgap_0_to_0.5eV,4,Cu,
qmof-2dea218,SACPAQ_FSR,bandgap_0_to_0.5eV,5,Hg,
qmof-1b4e871,PAZXOD_FSR,bandgap_0_to_0.5eV,3,Cr,c1cnc(-c2ncccn2)nc1
qmof-214ad37,KARSAY_FSR,bandgap_0_to_0.5eV,1,Ag,
qmof-7e46631,KASRUS_FSR,bandgap_0_to_0.5eV,3,Cu,
qmof-0d0a55e,PODMUR_FSR,bandgap_0_to_0.5eV,4,Cu,c1cc(-c2ccc(-c3ccnnc3)cc2)cnn1
qmof-c031960,DICVUI_FSR,bandgap_0_to_0.5eV,3,Cu,c1ccccc1
qmof-d7b29f8,HUGLUS_FSR,bandgap_0_to_0.5eV,1,Ga,c1ccc(Cc2ccccc2)cc1
qmof-2d06267,MOYWAZ_FSR,bandgap_0_to_0.5eV,4,Sr,
qmof-f94dd0a,YORKAS_FSR,bandgap_0_to_0.5eV,1,Cu,c1cc(-c2nnc(-c3ccncc3)s2)ccn1.c1ccccc1
qmof-aaa4160,XUGQUM_FSR,bandgap_0_to_0.5eV,3,Ag,c1cnccn1
qmof-e79aee6,HISGEX_FSR,bandgap_0_to_0.5eV,1,Rb,O=S(=O)(c1ccccc1)c1ccccc1
