qmof_id,name,info.formula,primary_metal,metal_category,bandgap_mid,info.pld,info.lcd,info.density
qmof-9b1be38,TARQAF_FSR,Cs4C28H16O24S4,Cs,is_alkali,0.25,0.86138,2.14736,2.279458687
qmof-aca3388,ILEDIO_FSR,CoC40H52N2O4,Co,d_block_row4,0.25,1.64627,4.2196,1.087607203
qmof-4ce077a,ILICOW_FSR,Rh4C16Cl2H24O16,Rh,d_block_row5,0.25,1.25883,2.77965,2.347929012
qmof-4241a3d,WOLKUF_FSR,Zn4C36H22N8O16S2,Zn,d_block_row4,0.25,1.00186,2.22464,2.049005753
qmof-6d2fc7d,MIDVEA_FSR,Cu3C12Cl2H14N4O6,Cu,d_block_row4,0.25,0.8358,1.86013,2.226001305
qmof-7e4dbb6,NESYOZ02_FSR,Cu2C24Cl4H16N8,Cu,d_block_row4,0.25,1.58689,2.56268,1.713941423
qmof-dbb4b69,OXAZIX_FSR,Pr4C28H28N4O24,Pr,is_lanthanoid,0.25,1.19813,2.5282,2.387130678
qmof-54114ac,BIHZID_FSR,Hg2C12Cl4H12N2O2,Hg,d_block_row6,0.25,1.06917,1.66468,3.036162778
qmof-4bb9ee9,DOTYUI01_FSR,CoC38H48N4O4,Co,d_block_row4,0.25,1.34316,3.92753,1.12915899
qmof-f40f3e7,DOTZIX_FSR,CoC40H50N2O4,Co,d_block_row4,0.25,1.48086,3.89616,1.105378388
qmof-7cefc8c,OKECUE_FSR,Cd2C50H30N4O14,Cd,d_block_row5,0.25,1.33186,3.24436,1.653550726
qmof-62dbb8e,DORWAK_FSR,Cu2C36H52N16,Cu,d_block_row4,0.25,1.81242,2.27715,1.387196323
qmof-33eaa8a,LIKZAI_FSR,Cu2C32H24O12,Cu,d_block_row4,0.25,0.90775,1.64763,1.711881896
qmof-80d14e6,SEHDAM_FSR,Cd2C58H38N16O8,Cd,d_block_row5,0.25,1.18037,3.22357,1.644955375
qmof-d2f6719,OFEGUD_FSR,Cd3C48H34N8O18,Cd,d_block_row5,0.25,1.0544,2.47646,1.912083932
qmof-2ea7167,EKESOC_FSR,Cu2C16H32N4O10,Cu,d_block_row4,0.25,0.88414,1.491,1.837723272
qmof-606ca52,OVIVOF_FSR,Cd4C32Cl4H32N24O16,Cd,d_block_row5,0.25,1.77133,3.03364,1.892250876
qmof-8cfc29d,REJKUN_FSR,Cu4C14H10N12,Cu,d_block_row4,0.25,1.17171,2.06316,2.251534621
qmof-aa82d3e,GIWTUB_FSR,Cu2C20H36N4O16,Cu,d_block_row4,0.25,0.83266,1.91365,1.636135907
qmof-46e13c3,JIPRIM_FSR,KC14H20N20O12,K,is_alkali,0.25,1.9735,3.20754,1.384506544
qmof-afd3d78,QEKLEZ_FSR,Cd2C40H26N2O14,Cd,d_block_row5,0.25,0.80098,2.16291,1.887610041
qmof-d0bb092,LALQEW_FSR,Cd2Br4C40H28N6O2,Cd,d_block_row5,0.25,0.97037,3.19369,1.987953644
qmof-1dc08c3,PIDZEI_FSR,K4C40H44N4O16,K,is_alkali,0.25,0.95716,1.77393,1.471237661
qmof-3a0f684,PILPAD_FSR,Cd5C34H32N18O12,Cd,d_block_row5,0.25,1.36304,3.15388,2.092266825
