index,valid,MolWt,LogP,TPSA,HeavyAtomCount,NumHeteroatoms,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,NumRings,name
qmof-9b1be38,False,,,,,,,,,,,TARQAF_FSR
qmof-aca3388,True,184.24200000000002,2.2618,25.78,14.0,2.0,0.0,2.0,3.0,2.0,2.0,ILEDIO_FSR
qmof-4ce077a,False,,,,,,,,,,,ILICOW_FSR
qmof-4241a3d,True,409.3590000000001,0.7926999999999995,162.75,29.0,11.0,0.0,9.0,4.0,3.0,4.0,WOLKUF_FSR
qmof-6d2fc7d,False,,,,,,,,,,,MIDVEA_FSR
qmof-7e4dbb6,False,,,,,,,,,,,NESYOZ02_FSR
qmof-dbb4b69,True,165.10399999999996,-2.1914,93.15,12.0,5.0,0.0,5.0,2.0,1.0,1.0,OXAZIX_FSR
qmof-54114ac,True,108.11999999999998,1.0121,32.79,8.0,2.0,0.0,1.0,1.0,1.0,1.0,BIHZID_FSR
qmof-4bb9ee9,True,184.20200000000003,1.5635999999999999,53.980000000000004,14.0,4.0,0.0,2.0,3.0,2.0,2.0,DOTYUI01_FSR
qmof-f40f3e7,True,182.226,2.6470000000000002,25.78,14.0,2.0,0.0,2.0,2.0,2.0,2.0,DOTZIX_FSR
qmof-7cefc8c,True,299.214,-1.4306000000000003,129.62,22.0,7.0,0.0,7.0,5.0,2.0,2.0,OKECUE_FSR
qmof-62dbb8e,True,42.021,-1.4418000000000002,58.7,3.0,3.0,0.0,0.0,0.0,0.0,0.0,DORWAK_FSR
qmof-33eaa8a,False,,,,,,,,,,,LIKZAI_FSR
qmof-80d14e6,True,363.3130000000001,-1.11571,158.58999999999997,27.0,10.0,4.0,6.0,3.0,2.0,4.0,SEHDAM_FSR
qmof-d2f6719,True,487.4040000000003,-2.209279999999997,207.13,36.0,12.0,1.0,11.0,6.0,2.0,4.0,OFEGUD_FSR
qmof-2ea7167,True,112.176,-0.3824000000000001,6.48,8.0,2.0,0.0,2.0,0.0,0.0,3.0,EKESOC_FSR
qmof-606ca52,True,126.09499999999998,-1.9719999999999998,70.84,9.0,5.0,0.0,5.0,2.0,1.0,1.0,OVIVOF_FSR
qmof-8cfc29d,True,173.159,1.36356,98.75999999999999,13.0,6.0,0.0,5.0,1.0,1.0,2.0,REJKUN_FSR
qmof-aa82d3e,True,112.03999999999999,-1.7236000000000002,68.28,8.0,4.0,0.0,4.0,0.0,0.0,1.0,GIWTUB_FSR
qmof-46e13c3,True,88.106,0.03320000000000001,18.46,6.0,2.0,0.0,2.0,0.0,0.0,1.0,JIPRIM_FSR
qmof-afd3d78,True,439.4030000000001,0.5876999999999997,146.16999999999996,33.0,8.0,0.0,8.0,5.0,4.0,4.0,QEKLEZ_FSR
qmof-d0bb092,True,312.352,4.201790000000003,58.11,24.0,4.0,1.0,3.0,3.0,3.0,4.0,LALQEW_FSR
qmof-1dc08c3,True,382.3720000000001,-1.0664199999999981,139.12,28.0,8.0,0.0,8.0,8.0,0.0,2.0,PIDZEI_FSR
qmof-3a0f684,True,164.17200000000003,-0.43020000000000036,61.42,12.0,6.0,0.0,6.0,3.0,2.0,2.0,PILPAD_FSR
qmof-b311e90,False,,,,,,,,,,,UTIHAH_FSR
qmof-93cbc2c,True,250.11799999999994,-4.859400000000001,160.51999999999998,18.0,8.0,0.0,8.0,4.0,1.0,1.0,PEWFEE_FSR
qmof-9f865ef,True,164.11599999999996,-1.5864000000000003,80.25999999999999,12.0,4.0,0.0,4.0,2.0,1.0,1.0,HAFQUC_FSR
qmof-de9db8f,False,,,,,,,,,,,DODJUC_FSR
qmof-c8c6644,True,164.11599999999996,-1.5864000000000003,80.25999999999999,12.0,4.0,0.0,4.0,2.0,1.0,1.0,HAFQOW_FSR
qmof-cb9b730,True,138.91799999999998,-0.8560000000000001,88.19999999999999,5.0,5.0,0.0,0.0,0.0,0.0,0.0,ISOQEM01_FSR
qmof-2dea218,False,,,,,,,,,,,SACPAQ_FSR
qmof-1b4e871,True,158.16400000000002,0.9335999999999998,51.56,12.0,4.0,0.0,4.0,1.0,2.0,2.0,PAZXOD_FSR
qmof-214ad37,True,26.018,0.09637,23.79,2.0,1.0,0.0,1.0,0.0,0.0,0.0,KARSAY_FSR
qmof-7e46631,False,,,,,,,,,,,KASRUS_FSR
qmof-0d0a55e,True,234.262,2.6006,51.56,18.0,4.0,0.0,4.0,2.0,3.0,3.0,PODMUR_FSR
qmof-c031960,True,667.7,0.8320000000000003,80.25999999999999,16.0,8.0,0.0,4.0,2.0,1.0,1.0,DICVUI_FSR
qmof-d7b29f8,True,390.23500000000007,1.8242999999999996,80.25999999999999,27.0,10.0,0.0,4.0,4.0,2.0,2.0,HUGLUS_FSR
qmof-2d06267,False,,,,,,,,,,,MOYWAZ_FSR
qmof-f94dd0a,True,490.4090000000001,-2.1972999999999976,212.07999999999993,35.0,13.0,0.0,13.0,6.0,4.0,4.0,YORKAS_FSR
qmof-aaa4160,True,80.08999999999999,0.4765999999999999,25.78,6.0,2.0,0.0,2.0,0.0,1.0,1.0,XUGQUM_FSR
qmof-e79aee6,True,304.279,-0.7536,114.4,21.0,7.0,0.0,6.0,4.0,2.0,2.0,HISGEX_FSR
qmof-0c21f93,True,58.085,0.66498,23.79,3.0,2.0,0.0,1.0,0.0,0.0,0.0,WOFYIB_FSR
qmof-4a4b090,True,358.335,1.1836999999999998,151.39,25.0,10.0,0.0,6.0,3.0,3.0,3.0,CEMPAN_FSR
qmof-ff9ebb7,False,,,,,,,,,,,WEFDIU_FSR
qmof-2b29f90,True,348.358,0.4149999999999996,106.03999999999999,26.0,6.0,0.0,6.0,5.0,3.0,3.0,ELIMOC_FSR
qmof-d928e40,True,305.317,1.6137,94.11,23.0,6.0,0.0,4.0,4.0,3.0,3.0,NEKTEE_FSR
qmof-1f7d79e,True,82.066,-0.9046000000000001,52.92,6.0,4.0,0.0,2.0,0.0,0.0,1.0,CENLEP_FSR
