qmof_id,name,analysis_bin,info.pld,info.lcd,info.density,info.volume,info.natoms,info.symmetry.spacegroup_number,info.mofid.topology,info.synthesized,primary_metal,metal_signature,n_metal_types,linker_scaffold
qmof-9b1be38,TARQAF_FSR,bandgap_0_to_0.5eV,0.86138,2.14736,2.279458687,1017.171677,76,14,,True,Cs,unknown,0,
qmof-aca3388,ILEDIO_FSR,bandgap_0_to_0.5eV,1.64627,4.2196,1.087607203,1043.990723,99,2,,True,Co,[Co],1,c1cc(CCc2ccncc2)ccn1
qmof-4ce077a,ILICOW_FSR,bandgap_0_to_0.5eV,1.25883,2.77965,2.347929012,675.3252766,62,15,,True,Rh,unknown,0,
qmof-4241a3d,WOLKUF_FSR,bandgap_0_to_0.5eV,1.00186,2.22464,2.049005753,930.6528522,88,2,,True,Zn,[OH2][Zn]O[Zn],1,c1ccc2c(c1)[N]C(c1cscn1)=N2.c1ccccc1
qmof-6d2fc7d,MIDVEA_FSR,bandgap_0_to_0.5eV,0.8358,1.86013,2.226001305,426.552968,41,2,,True,Cu,unknown,0,
qmof-7e4dbb6,NESYOZ02_FSR,bandgap_0_to_0.5eV,1.58689,2.56268,1.713941423,663.9878236,54,14,,True,Cu,unknown,0,
qmof-dbb4b69,OXAZIX_FSR,bandgap_0_to_0.5eV,1.19813,2.5282,2.387130678,951.7247298,88,14,,True,Pr,[OH2][Pr]1[OH2][Pr]([OH2]1)[OH2],1,c1ccncc1
qmof-54114ac,BIHZID_FSR,bandgap_0_to_0.5eV,1.06917,1.66468,3.036162778,415.2371421,34,2,,True,Hg,Cl[Hg]Cl,1,c1ccncc1
qmof-4bb9ee9,DOTYUI01_FSR,bandgap_0_to_0.5eV,1.34316,3.92753,1.12915899,1005.514562,95,2,,True,Co,[Co],1,c1cc([N][N]c2ccncc2)ccn1
qmof-f40f3e7,DOTZIX_FSR,bandgap_0_to_0.5eV,1.48086,3.89616,1.105378388,1024.178142,97,2,,True,Co,[Co],1,C(=Cc1ccncc1)c1ccncc1
qmof-7cefc8c,OKECUE_FSR,bandgap_0_to_0.5eV,1.33186,3.24436,1.653550726,1140.413002,100,2,,True,Cd,[Cd],1,c1ccc(Oc2ccccc2)cc1
qmof-62dbb8e,DORWAK_FSR,bandgap_0_to_0.5eV,1.81242,2.27715,1.387196323,1000.727957,106,4,,True,Cu,[Cu],1,
qmof-33eaa8a,LIKZAI_FSR,bandgap_0_to_0.5eV,0.90775,1.64763,1.711881896,705.7950195,70,14,,True,Cu,unknown,0,
qmof-80d14e6,SEHDAM_FSR,bandgap_0_to_0.5eV,1.18037,3.22357,1.644955375,1324.274665,122,2,,True,Cd,[Cd],1,O=C1[N]NC(=O)c2ccc([CH]c3ccc4c(c3)C(=O)N[N]C4=O)cc21
qmof-d2f6719,OFEGUD_FSR,bandgap_0_to_0.5eV,1.0544,2.47646,1.912083932,1170.714943,111,2,,True,Cd,[Cd]|[OH2][Cd],2,[CH]1C=NC(c2ccccc2)=N1.[CH]1C=NC(c2ccccc2)=N1
qmof-2ea7167,EKESOC_FSR,bandgap_0_to_0.5eV,0.88414,1.491,1.837723272,512.8188602,64,59,,True,Cu,[OH2][Cu],1,C1CN2CCN1CC2
qmof-606ca52,OVIVOF_FSR,bandgap_0_to_0.5eV,1.77133,3.03364,1.892250876,1404.253928,112,14,,True,Cd,Cl[Cd],1,c1nnc[nH]1
qmof-8cfc29d,REJKUN_FSR,bandgap_0_to_0.5eV,1.17171,2.06316,2.251534621,442.8726402,40,15,dmd,True,Cu,[Cu],1,c1ccc(C2=NN=N[N]2)cc1
qmof-aa82d3e,GIWTUB_FSR,bandgap_0_to_0.5eV,0.83266,1.91365,1.636135907,726.2824329,78,14,,True,Cu,[OH2][Cu][OH2],1,O=C1C(=O)C(=O)C1=O
qmof-46e13c3,JIPRIM_FSR,bandgap_0_to_0.5eV,1.9735,3.20754,1.384506544,839.0014783,67,2,,True,K,[OH2][K]([OH2])([OH2])[OH2],1,C1COCCO1
qmof-afd3d78,QEKLEZ_FSR,bandgap_0_to_0.5eV,0.80098,2.16291,1.887610041,865.1554643,84,2,sql,True,Cd,[OH2][Cd],1,c1cc(-c2ccncc2)ccn1.c1ccc(-c2ccccc2)cc1
qmof-d0bb092,LALQEW_FSR,bandgap_0_to_0.5eV,0.97037,3.19369,1.987953644,976.5728664,82,2,,True,Cd,Br[Cd]Br,1,O=C1C=CC=C[C]1C=Nc1ccc(-c2nc3ccccc3[nH]2)cc1
qmof-1dc08c3,PIDZEI_FSR,bandgap_0_to_0.5eV,0.95716,1.77393,1.471237661,1120.979377,108,14,,True,K,O|[K],2,O=C1C=C[CH]C=C1.O=C1[CH]C=CC=C1
qmof-3a0f684,PILPAD_FSR,bandgap_0_to_0.5eV,1.36304,3.15388,2.092266825,1148.249884,101,2,,True,Cd,[Cd][O]([Cd][O]([Cd])[Cd])[Cd],1,c1ncn(CCn2cncn2)n1
qmof-b311e90,UTIHAH_FSR,bandgap_0_to_0.5eV,1.02029,1.41777,1.818051293,625.9648664,54,14,,True,Cu,unknown,0,
qmof-93cbc2c,PEWFEE_FSR,bandgap_0_to_0.5eV,0.97408,2.09814,3.392561733,285.696502,24,2,,True,Cu,[Cu]|[O][U][O],2,c1ccccc1
qmof-9f865ef,HAFQUC_FSR,bandgap_0_to_0.5eV,1.15918,2.06772,1.689063053,1480.029047,140,14,rna,True,Al,[Al]|[OH],2,c1ccccc1
qmof-de9db8f,DODJUC_FSR,bandgap_0_to_0.5eV,1.11343,2.55386,2.346633716,1119.190534,100,2,,True,Hg,unknown,0,
qmof-c8c6644,HAFQOW_FSR,bandgap_0_to_0.5eV,1.09181,1.98342,1.627484576,1478.78246,128,14,rna,True,Al,[Al]|[OH],2,c1ccccc1
qmof-cb9b730,ISOQEM01_FSR,bandgap_0_to_0.5eV,0.91417,2.30369,2.308505283,635.2824823,58,2,,True,Cu,[O][V]O[Cu],1,
qmof-2dea218,SACPAQ_FSR,bandgap_0_to_0.5eV,0.95927,3.01699,3.629179268,1875.732273,120,2,,True,Hg,unknown,0,
qmof-1b4e871,PAZXOD_FSR,bandgap_0_to_0.5eV,0.904,2.64822,2.290282954,634.6884357,56,2,bex,True,Cr,[Cu]O[Cr](O[Cr]([O])([O])[O])([O])[O],1,c1cnc(-c2ncccn2)nc1
qmof-214ad37,KARSAY_FSR,bandgap_0_to_0.5eV,1.01079,2.04678,1.872393194,757.1635857,77,2,,True,Ag,[Ag]|[Zn],2,
qmof-7e46631,KASRUS_FSR,bandgap_0_to_0.5eV,0.89153,2.09186,2.056023357,433.8523189,38,4,,True,Cu,unknown,0,
qmof-0d0a55e,PODMUR_FSR,bandgap_0_to_0.5eV,0.85511,1.54124,2.235255239,679.9038149,62,14,,True,Cu,Br[Cu]Br,1,c1cc(-c2ccc(-c3ccnnc3)cc2)cnn1
qmof-c031960,DICVUI_FSR,bandgap_0_to_0.5eV,1.69068,2.89675,2.781349678,912.9317974,59,2,,True,Cu,[Cu],1,c1ccccc1
qmof-d7b29f8,HUGLUS_FSR,bandgap_0_to_0.5eV,1.71813,3.79923,1.665516905,1898.133277,148,15,,True,Ga,[Ga]|[O],2,c1ccc(Cc2ccccc2)cc1
qmof-2d06267,MOYWAZ_FSR,bandgap_0_to_0.5eV,1.26613,2.584,1.653797067,1144.703803,114,15,,True,Sr,O|[Sr],2,
qmof-f94dd0a,YORKAS_FSR,bandgap_0_to_0.5eV,1.15084,3.64268,1.651483863,898.7088934,78,2,nbo,True,Cu,[Cu],1,c1cc(-c2nnc(-c3ccncc3)s2)ccn1.c1ccccc1
qmof-aaa4160,XUGQUM_FSR,bandgap_0_to_0.5eV,0.98715,1.63027,2.239917855,682.283175,62,15,sql,True,Ag,[Ag],1,c1cnccn1
qmof-e79aee6,HISGEX_FSR,bandgap_0_to_0.5eV,0.693,1.7235,1.83920504,703.7634917,60,13,bex,True,Rb,[Rb],1,O=S(=O)(c1ccccc1)c1ccccc1
qmof-0c21f93,WOFYIB_FSR,bandgap_0.5_to_1.0eV,0.99306,1.96146,1.821868146,897.500372,84,15,,True,Co,[Co][Co],1,
qmof-4a4b090,CEMPAN_FSR,bandgap_0.5_to_1.0eV,1.42313,2.35719,2.352863549,1198.398056,106,2,,True,Cu,[OH2][Cu]|[O][U]([O])[OH2],2,c1ccccc1.c1cnc(-c2ncccn2)nc1
qmof-ff9ebb7,WEFDIU_FSR,bandgap_0.5_to_1.0eV,0.98585,2.51684,1.736570109,434.4503955,46,2,,True,Cu,unknown,0,
qmof-2b29f90,ELIMOC_FSR,bandgap_0.5_to_1.0eV,0.93687,2.08527,1.675318733,435.4449572,49,2,sql,True,Mn,[OH2][Mn][OH2],1,c1cc(-c2ccncc2)ccn1.c1ccccc1
qmof-d928e40,NEKTEE_FSR,bandgap_0.5_to_1.0eV,0.94038,1.97183,1.5311022,1243.880524,124,2,,True,Mn,[Mn],1,c1cc([N][N]c2ccncc2)ccn1.c1ccccc1
qmof-1f7d79e,CENLEP_FSR,bandgap_0.5_to_1.0eV,1.10078,2.10368,3.511351801,348.9705981,24,63,,True,Cu,[Cu]Br,1,C1=N[N]C=N[N]1
qmof-9b0ccbd,BETGUF_FSR,bandgap_0.5_to_1.0eV,1.36328,2.70936,2.474031757,924.6978361,82,2,,True,Cu,[Cu]|[O][U][O],2,
qmof-c9f9a46,PASQUX_FSR,bandgap_0.5_to_1.0eV,1.07488,1.90806,1.910195642,594.1923401,62,9,ths,True,Cu,[OH2][Cu],1,C1=CN=C(c2ccccc2)[N]1
qmof-e7b175c,FORWUF01_FSR,bandgap_0.5_to_1.0eV,1.2445,2.2518,1.930766784,658.6768632,72,1,,True,Fe,[Fe]|[O],2,C1CCCCC1
qmof-c937650,OSUWIJ_FSR,bandgap_0.5_to_1.0eV,1.62488,2.30591,2.064849643,1035.936071,92,29,,True,Ag,[Ag],1,c1ccc2ccccc2c1
qmof-12544e7,PITVOD_FSR,bandgap_0.5_to_1.0eV,1.32498,5.28504,0.975222481,980.159978,83,12,,True,Mn,[Mn],1,c1cnccn1
qmof-7311839,BISVUW_FSR,bandgap_0.5_to_1.0eV,0.75996,1.82955,2.634073841,592.3901994,42,2,,True,Ag,[Ag][Ag],1,c1ccccc1
qmof-f8c7a01,DIHHOS_FSR,bandgap_0.5_to_1.0eV,0.95124,1.90234,2.450140041,550.7111229,47,2,,True,Cu,unknown,0,
qmof-a3a6bff,LAFRUG_FSR,bandgap_0.5_to_1.0eV,0.90748,1.70726,2.105982889,913.6739912,92,14,,True,Cu,[OH2][Cu],1,
qmof-0fcda30,HACWIR02_FSR,bandgap_0.5_to_1.0eV,0.8958,1.59648,2.026426092,637.7490637,62,9,bey,True,Mn,[Mn],1,[CH]1C=NC=CN1
qmof-1b8f727,DEZZUE_FSR,bandgap_0.5_to_1.0eV,1.49598,3.20738,1.945051854,371.6200334,32,12,pcu,True,Cu,[Cu][Cu],1,c1cnccn1
qmof-462389a,KCLNLA01_FSR,bandgap_0.5_to_1.0eV,1.01141,1.77495,1.779961966,1280.144159,92,14,,True,K,[K],1,O=C1C=CC(=O)C=C1
qmof-c054f0b,YAKLIF_FSR,bandgap_0.5_to_1.0eV,0.86452,1.34625,2.322523062,389.9839909,30,11,,True,Cu,Cl[Cu]Cl,1,C1SCSCS1
qmof-79768f1,ETEVOP_FSR,bandgap_0.5_to_1.0eV,1.24509,2.01411,1.922187588,1345.655021,92,14,,True,Rb,[Rb],1,O=C1C=CC(=O)C=C1
qmof-c6fb628,MICRAU_FSR,bandgap_0.5_to_1.0eV,1.57273,3.82429,1.399495828,970.3787335,80,2,,True,Cu,[Cu][Cu],1,c1ccc(Sc2ccccc2)cc1
qmof-c8cd84e,NOQBUS_FSR,bandgap_0.5_to_1.0eV,0.88026,2.36572,1.595534609,796.7752362,83,2,,True,Co,[OH2][Co][OH2],1,c1cc(-c2cc[nH+]cc2)cc[nH+]1
qmof-3767e26,ETETON_FSR,bandgap_0.5_to_1.0eV,0.89158,2.0024,2.561741091,1350.491617,92,2,,True,K,[K],1,O=C1C=CC(=O)C=C1
qmof-3d26180,SIPYUM_FSR,bandgap_0.5_to_1.0eV,0.85259,2.54734,1.916886685,607.645544,60,2,,True,Cu,[OH2][Cu][Cu][OH2],1,c1ccccc1
qmof-043bf63,JETLEC_FSR,bandgap_0.5_to_1.0eV,0.95718,1.85503,2.219289117,1139.316577,100,15,,True,Cu,[Cu][Cu](I)I,1,C(#Cc1c2ccccc2c(C#Cc2ccncc2)c2ccccc12)c1ccncc1
