qmof_id,name,analysis_bin,primary_metal,outputs.hse06.bandgap,zeo_pld,zeo_lcd,zeo_density,zeo_volume,zeo_natoms
qmof-7cefc8c,OKECUE_FSR,bandgap_0_to_0.5eV,Cd,0.144547,1.33186,3.24436,1.653550726,1140.413002,100
qmof-46e13c3,JIPRIM_FSR,bandgap_0_to_0.5eV,K,0.074393,1.9735,3.20754,1.384506544,839.0014783,67
qmof-3a0f684,PILPAD_FSR,bandgap_0_to_0.5eV,Cd,0.287359,1.36304,3.15388,2.092266825,1148.249884,101
qmof-cb9b730,ISOQEM01_FSR,bandgap_0_to_0.5eV,Cu,0.442381,0.91417,2.30369,2.308505283,635.2824823,58
qmof-62dbb8e,DORWAK_FSR,bandgap_0_to_0.5eV,Cu,0.338369,1.81242,2.27715,1.387196323,1000.727957,106
qmof-0d0a55e,PODMUR_FSR,bandgap_0_to_0.5eV,Cu,0.090002,0.85511,1.54124,2.235255239,679.9038149,62
qmof-2ea7167,EKESOC_FSR,bandgap_0_to_0.5eV,Cu,0.407423,0.88414,1.491,1.837723272,512.8188602,64
qmof-aa82d3e,GIWTUB_FSR,bandgap_0_to_0.5eV,Cu,0.173871,0.83266,1.91365,1.636135907,726.2824329,78
qmof-d0bb092,LALQEW_FSR,bandgap_0_to_0.5eV,Cd,0.296337,0.97037,3.19369,1.987953644,976.5728664,82
qmof-80d14e6,SEHDAM_FSR,bandgap_0_to_0.5eV,Cd,0.266776,1.18037,3.22357,1.644955375,1324.274665,122
qmof-8cfc29d,REJKUN_FSR,bandgap_0_to_0.5eV,Cu,0.243604,1.17171,2.06316,2.251534621,442.8726402,40
qmof-aaa4160,XUGQUM_FSR,bandgap_0_to_0.5eV,Ag,0.094199,0.98715,1.63027,2.239917855,682.283175,62
qmof-214ad37,KARSAY_FSR,bandgap_0_to_0.5eV,Ag,0.430833,1.01079,2.04678,1.872393194,757.1635857,77
qmof-606ca52,OVIVOF_FSR,bandgap_0_to_0.5eV,Cd,0.121877,1.77133,3.03364,1.892250876,1404.253928,112
qmof-54114ac,BIHZID_FSR,bandgap_0_to_0.5eV,Hg,0.349113,1.06917,1.66468,3.036162778,415.2371421,34
qmof-d2f6719,OFEGUD_FSR,bandgap_0_to_0.5eV,Cd,0.36268,1.0544,2.47646,1.912083932,1170.714943,111
qmof-c031960,DICVUI_FSR,bandgap_0_to_0.5eV,Cu,0.123871,1.69068,2.89675,2.781349678,912.9317974,59
qmof-f94dd0a,YORKAS_FSR,bandgap_0_to_0.5eV,Cu,0.138975,1.15084,3.64268,1.651483863,898.7088934,78
qmof-d7b29f8,HUGLUS_FSR,bandgap_0_to_0.5eV,Ga,0.175346,1.71813,3.79923,1.665516905,1898.133277,148
qmof-1dc08c3,PIDZEI_FSR,bandgap_0_to_0.5eV,K,0.024764,0.95716,1.77393,1.471237661,1120.979377,108
qmof-4241a3d,WOLKUF_FSR,bandgap_0_to_0.5eV,Zn,0.403654,1.00186,2.22464,2.049005753,930.6528522,88
qmof-1b4e871,PAZXOD_FSR,bandgap_0_to_0.5eV,Cr,0.474993,0.904,2.64822,2.290282954,634.6884357,56
qmof-aca3388,ILEDIO_FSR,bandgap_0_to_0.5eV,Co,0.459148,1.64627,4.2196,1.087607203,1043.990723,99
qmof-dbb4b69,OXAZIX_FSR,bandgap_0_to_0.5eV,Pr,0.111886,1.19813,2.5282,2.387130678,951.7247298,88
qmof-f40f3e7,DOTZIX_FSR,bandgap_0_to_0.5eV,Co,0.460424,1.48086,3.89616,1.105378388,1024.178142,97
qmof-4bb9ee9,DOTYUI01_FSR,bandgap_0_to_0.5eV,Co,0.076128,1.34316,3.92753,1.12915899,1005.514562,95
qmof-afd3d78,QEKLEZ_FSR,bandgap_0_to_0.5eV,Cd,0.135832,0.80098,2.16291,1.887610041,865.1554643,84
qmof-93cbc2c,PEWFEE_FSR,bandgap_0_to_0.5eV,Cu,0.055805,0.97408,2.09814,3.392561733,285.696502,24
qmof-e79aee6,HISGEX_FSR,bandgap_0_to_0.5eV,Rb,0.112881,0.693,1.7235,1.83920504,703.7634917,60
qmof-c8c6644,HAFQOW_FSR,bandgap_0_to_0.5eV,Al,0.462275,1.09181,1.98342,1.627484576,1478.78246,128
qmof-9f865ef,HAFQUC_FSR,bandgap_0_to_0.5eV,Al,0.428368,1.15918,2.06772,1.689063053,1480.029047,140
qmof-b311e90,UTIHAH_FSR,bandgap_0_to_0.5eV,Cu,0.102354,1.02029,1.41777,1.818051293,625.9648664,54
qmof-c9f9a46,PASQUX_FSR,bandgap_0.5_to_1.0eV,Cu,0.823284,1.07488,1.90806,1.910195642,594.1923401,62
qmof-c054f0b,YAKLIF_FSR,bandgap_0.5_to_1.0eV,Cu,0.610842,0.86452,1.34625,2.322523062,389.9839909,30
qmof-0c21f93,WOFYIB_FSR,bandgap_0.5_to_1.0eV,Co,0.978452,0.99306,1.96146,1.821868146,897.500372,84
qmof-1f7d79e,CENLEP_FSR,bandgap_0.5_to_1.0eV,Cu,0.996215,1.10078,2.10368,3.511351801,348.9705981,24
qmof-2bd5eb8,COQTAE_FSR,bandgap_0.5_to_1.0eV,K,0.745165,1.1527,2.0693,1.456041115,1128.48864,108
qmof-043bf63,JETLEC_FSR,bandgap_0.5_to_1.0eV,Cu,0.950758,0.95718,1.85503,2.219289117,1139.316577,100
qmof-9b0ccbd,BETGUF_FSR,bandgap_0.5_to_1.0eV,Cu,0.728773,1.36328,2.70936,2.474031757,924.6978361,82
